layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
DSH,1024,8,64,4,1,6,512,53614.0957031,1.93009185523e-06,0,repeated_buffer
SHD,1024,8,64,4,1,7,1024,19699.6660156,1.71671871385e-06,0,repeated_buffer
HSD,1024,8,64,4,1,7,1024,20262.8583984,1.71671871385e-06,0,repeated_buffer
DSH,1024,8,64,4,1,7,512,55452.3925781,1.93009185523e-06,0,repeated_buffer
HSD,1024,8,64,4,1,8,1024,19775.3496094,1.71671871385e-06,0,repeated_buffer
SHD,1024,8,64,4,1,8,1024,19800.0078125,1.71671871385e-06,0,repeated_buffer
DSH,1024,8,64,4,1,8,512,53849.1210938,1.93009185523e-06,0,repeated_buffer
SHD,1024,8,64,4,1,9,1024,19674.7236328,1.71671871385e-06,0,repeated_buffer
HSD,1024,8,64,4,1,9,1024,19610.0664062,1.71671871385e-06,0,repeated_buffer
DSH,1024,8,64,4,1,9,512,52529.3789062,1.93009185523e-06,0,repeated_buffer
DSH,1024,8,128,4,1,0,256,116106.28125,4.00725795657e-06,0,repeated_buffer
HSD,1024,8,128,4,1,0,512,55746.90625,3.86914153694e-06,0,repeated_buffer
SHD,1024,8,128,4,1,0,512,55506.1855469,3.86914153694e-06,0,repeated_buffer
HSD,1024,8,128,4,1,1,512,55747.640625,3.86914153694e-06,0,repeated_buffer
DSH,1024,8,128,4,1,1,256,120670.734375,4.00725795657e-06,0,repeated_buffer
SHD,1024,8,128,4,1,1,512,56198.8125,3.86914153694e-06,0,repeated_buffer
DSH,1024,8,128,4,1,2,256,117561.363281,4.00725795657e-06,0,repeated_buffer
SHD,1024,8,128,4,1,2,512,55612.6308594,3.86914153694e-06,0,repeated_buffer
HSD,1024,8,128,4,1,2,512,55068.6835938,3.86914153694e-06,0,repeated_buffer
HSD,1024,8,128,4,1,3,512,55159.5058594,3.86914153694e-06,0,repeated_buffer
DSH,1024,8,128,4,1,3,256,117144.695312,4.00725795657e-06,0,repeated_buffer
SHD,1024,8,128,4,1,3,512,55689.6972656,3.86914153694e-06,0,repeated_buffer
HSD,1024,8,128,4,1,4,512,55266.3574219,3.86914153694e-06,0,repeated_buffer
DSH,1024,8,128,4,1,4,256,129468.261719,4.00725795657e-06,0,repeated_buffer
SHD,1024,8,128,4,1,4,512,55751.8710938,3.86914153694e-06,0,repeated_buffer
HSD,1024,8,128,4,1,5,512,55255.9414062,3.86914153694e-06,0,repeated_buffer
DSH,1024,8,128,4,1,5,256,124937.171875,4.00725795657e-06,0,repeated_buffer
SHD,1024,8,128,4,1,5,512,55699.21875,3.86914153694e-06,0,repeated_buffer
DSH,1024,8,128,4,1,6,256,122320.964844,4.00725795657e-06,0,repeated_buffer
SHD,1024,8,128,4,1,6,512,56669.8417969,3.86914153694e-06,0,repeated_buffer
HSD,1024,8,128,4,1,6,512,55199.3007812,3.86914153694e-06,0,repeated_buffer
HSD,1024,8,128,4,1,7,512,55242.6757812,3.86914153694e-06,0,repeated_buffer
DSH,1024,8,128,4,1,7,256,121039.710938,4.00725795657e-06,0,repeated_buffer
SHD,1024,8,128,4,1,7,512,55541.5039062,3.86914153694e-06,0,repeated_buffer
HSD,1024,8,128,4,1,8,512,55049.9667969,3.86914153694e-06,0,repeated_buffer
DSH,1024,8,128,4,1,8,256,117002.441406,4.00725795657e-06,0,repeated_buffer
