run,S,H,D,head_start,heads_processed,layout,samples,median_us,q1_us,q3_us,time_over_hsd
Run3,128,32,128,16,1,DSH,10,14.00955200195,13.9293774414,14.321762206999999,2.0206600712265788
Run3,128,32,128,16,1,HSD,10,6.93315625,6.9119364013675,6.9667561645525,1.0
Run3,128,32,128,16,1,SHD,10,6.96220397949,6.9386265869175,6.979568420415,1.004189683376889
Run3,1024,1,64,0,1,DSH,10,43.5326328125,43.30519628905,43.7092080078,2.1967231299472867
Run3,1024,1,64,0,1,HSD,10,19.8170776367,19.729390624975,20.1291298828,1.0
Run3,1024,1,64,0,1,SHD,10,19.7942504883,19.73044848635,19.94079638675,0.9988481072326364
Run3,1024,1,128,0,1,DSH,10,118.9827460935,118.28291699225001,121.02457812475,2.140882429905504
Run3,1024,1,128,0,1,HSD,10,55.5764970703,55.36930371095001,55.620502929649994,1.0
Run3,1024,1,128,0,1,SHD,10,55.45666503905,55.32063818357501,55.604776367225,0.9978438361975491
Run3,1024,8,64,4,1,DSH,10,52.88557910155,52.518187499975,53.320679199175004,2.683065828952851
Run3,1024,8,64,4,1,HSD,10,19.71087646485,19.664743896450002,19.791727539075,1.0
Run3,1024,8,64,4,1,SHD,10,19.749207031250002,19.71738671875,19.781463623075002,1.0019446403851375
Run3,1024,8,128,4,1,DSH,10,117.9104804685,117.35941601600001,118.87044335975001,2.1315251562473807
Run3,1024,8,128,4,1,HSD,10,55.31742382815,55.191467285200005,55.389729980474996,1.0
Run3,1024,8,128,4,1,SHD,10,55.54736425785,55.472961914075,56.64935253905,1.0041567450865814
Run3,1024,32,64,16,1,DSH,10,67.83536816405001,67.65098095705,68.607849121075,3.449662863684548
Run3,1024,32,64,16,1,HSD,10,19.664347168,19.6484370117,19.723266845725,1.0
Run3,1024,32,64,16,1,SHD,10,20.91986083985,20.793212402374998,20.990712158199997,1.0638472084083783
Run3,1024,32,128,16,1,DSH,10,302.845703125,295.36328320300004,312.41820898425,5.468896495464486
Run3,1024,32,128,16,1,HSD,10,55.37601660155,55.169067871075,55.77008154297499,1.0
Run3,1024,32,128,16,1,SHD,10,74.8761796875,74.3718251953,75.17991113285,1.3521409498675314
Run3,8192,1,64,0,1,DSH,10,675.115234375,673.1979296875,678.43325,4.2653765381189235
Run3,8192,1,64,0,1,HSD,10,158.277992187,157.680828125,158.79500390625,1.0
Run3,8192,1,64,0,1,SHD,10,158.189128906,157.771890625,158.6207714845,0.999438561989749
Run3,8192,1,128,0,1,DSH,10,983.1699375000001,975.5673671875,991.60090625,2.2094999731901446
Run3,8192,1,128,0,1,HSD,10,444.973953125,443.7088203125,448.77456640625,1.0
Run3,8192,1,128,0,1,SHD,10,444.277671875,443.74934765625,445.13638671875,0.9984352314442001
Run3,8192,8,64,4,1,DSH,10,732.08203125,722.7513046875,744.440109375,4.624664775152971
